,text
1071,the alchemist knocked on the gate of the monastery
1072,that makes sense the alchemist answered
1073,i'm not afraid to die
1074,he followed the movement of the birds trying to read something into it
1075,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war
1076,i don't want to change anything because i don't know how to deal with change
1077,i want you to help me turn myself into the wind the boy answered
1078,you should show that your method improves results
1079,tickets for the broadcast are all gone
1080,i know why i want to get back to my flock he thought
1081,continue in the direction of the pyramids said the alchemist
1082,i am in search of that universal language among other things
1083,at that time it was quite clear in my own mind that the thing had come from the planet mars
1084,ogilvy told him everything that he had seen
1085,if it were he would already have heard of it
1086,i'm going into the desert the man answered turning back to his reading
1087,it was no more exciting than an overturned carriage or a tree blown across the road
1088,everyone seemed very excited
1089,it's almost as if he had been here and left his mark he thought
1090,there was a full moon and the boy told the englishman the story of his life
1091,the horse reared again raising a cloud of dust
1092,did she discuss it with you
1093,he couldn't have been wrong
1094,it spread through the planet's atmosphere and obscured its more familiar features
1095,i thought about whether we should find coins and models in it and so on
1096,the boy had never even noticed that there was a hole in his pouch
1097,the boy felt a pang in his heart thinking about the merchant's daughter
1098,the wind began to pick up
1099,no one attacks an oasis
1100,i have the diet of a kid who found twenty dollars
1101,where are they gone
1102,the references are good in the very narrow area of histogram methods
1103,i can't do that
1104,it must have fallen while i was sitting over there
1105,it's as much my fault as yours
1106,as nice as blake's
1107,maktub thought the boy
1108,why would a king be talking with a shepherd the boy asked awed and embarrassed
1109,they both spoke the same language
1110,they were looking only for gold his companion answered
1111,it said that the darkest hour of the night came just before the dawn
1112,i thought the unscrewing might be automatic
1113,an huge hole had been made by the impact of the projectile
1114,you have developed a serious case of pneumonia
1115,i'm sure she'll be all right
1116,you can't take that desk out
1117,who told you that asked the boy startled
1118,scattered groups of people were hurrying from the direction of woking
1119,what are you talking about
1120,i didn't know whose it was
1121,not to worry said the alchemist
1122,brent's opening attack on the governor
1123,i heard a peculiar humming sound from the pit
1124,enough said the boy
1125,it's just like any other day as far as i'm concerned
1126,he must be disguised to avoid encounters with thieves
1127,the burning fire had been extinguished
1128,she looks as though she's going to come to
1129,elizabeth charles is dead
1130,its been a long time since she last read chekhov and because of that she no longer feels like the heroine of her own story
1131,you don't deny that
1132,that he wanted to travel
1133,he was going to miss the place and all the good things he had learned
1134,i went stretching my legs clumsily and feeling my way in the dark
1135,then the thing came upon him in a flash
1136,the sun thought for a minute
1137,he condemned the commander to death without honor
1138,you should see the other guy specifically how good at fighting he is
1139,what am i going to say to elvis
1140,it had a diameter of about thirty yards
1141,but they were not there
1142,i'm not going very far the alchemist answered looking straight into the eyes of the horsemen
1143,he understands the forces of nature
1144,after all who doesnt want to overcome new challenges and achieve great heights
1145,it didn't even occur to the boy to flee
1146,but horses tire bit by bit
1147,except for the dream
1148,the xylophone would just be a glockenspiel if it wasn't so metal
1149,please don't make me
1150,you jump i jump
1151,by the light of their own destruction i saw them staggering and falling and their supporters turning to run
1152,he didn't want any conversation at this point
1153,none of what the old man was saying made much sense to the boy
1154,he's doing it because it's what he wants to do
1155,the boy could certainly resist causing that kind of anxiety for the baker
1156,how do you mean
1157,of course the two were unable to do anything
1158,the old man wore a breastplate of gold and he knew about my past
1159,i didn't come here to have you read my palm he said already regretting having come
1160,when i'm eating that's all i think about
1161,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
1162,this morning i found a calculator taped to my wii
1163,and he immediately felt peace in his heart
1164,about eleven i walked back to my home in maybury because nothing seemed to be happening
1165,have a good time
1166,the one you marry has got to swim rivers for you
1167,well usually i learn more from my sheep than from books he answered
1168,we rejoiced at the citadel
1169,some went away while i was there and other people came
1170,the burning fire had been extinguished
1171,what's the matter with you
1172,at most they thought that another meteorite had descended
1173,a thin circle of bright metal showed between the top and the body of the cylinder
1174,but the marketplace was empty and he was far from home so he wept
1175,he stood irresolute for a moment and then scrambled out of the pit
1176,i said good night
1177,people say strange things the boy thought
1178,i suppose i could
1179,two years ago right here on this spot i had a recurrent dream too
1180,the first day passed
1181,where was his horse
1182,meanwhile the old man persisted in his attempt to strike up a conversation
1183,aiding an escaped criminal
1184,if you can concentrate always on the present you'll be a happy man
1185,i saw him get it
1186,they ate in silence
1187,nice to meet you
1188,the end of the cylinder was still as ogilvy and henderson had left it
1189,he got up early with the idea of finding it
1190,there was no way to measure anything of that length
1191,is it all right
1192,can you see what is beyond the golden birches 
1193,they're starting to throw things
1194,we've done it said the englishman who had also awakened early
1195,taking the jacket out he began to clean the glasses
1196,those are the rules of war the leader explained
1197,it's a man who understands nature and the world
1198,that's all i ask
1199,no doubt the impact had caused a flash of fire
1200,the sword didn't fall
1201,it was not clear who had the right of way since the traffic lights were off
1202,you don't have to be rich skinny popular or even own a cape to perform a random act of kindness
1203,she knows that men have to go away in order to return
1204,this is from the governor
1205,i'm going to guide you across the desert the alchemist said
1206,now you got me
1207,can i have one of those
1208,from then on the boy understood his heart
1209,the sun began its departure as well
1210,they can't help themselves
1211,everything has been written by the same hand
1212,i've got to get katie out of jail
1213,maybe she didn't even remember him
1214,replace the ts in tim tebow's name with any other consonant to get a star wars character
1215,whatever the thing observed one could find a connection with his experience of the moment
1216,it seemed he had made the long journey for nothing
1217,and he wasn't faring much better
1218,show me where there is life out in the desert
1219,watch out for his venom the boy said
1220,she never told her that
1221,the heather was on fire and you could see a thin blue smoke rising up slowly
1222,the only shadow was that of the few scattered pine trees
1223,the years of research the magic symbols the strange words and the laboratory equipment
1224,but i felt miserable watching him wither away like a shriveled dandelion
1225,looking around he sought his sheep and then realized that he was in a new world
1226,those are the rules of war the leader explained
1227,why didn't i call you back
1228,it was no more exciting than an overturned carriage or a tree blown across the road
1229,i went stretching my legs clumsily and feeling my way in the dark
1230,that's right said the old man able to read the boy's thoughts
1231,hundreds of observers saw the flame that night and the night after
1232,then you'll die in the midst of trying to realize your destiny
1233,i locked eyes with a fish in the tank
1234,it seemed such a little thing so bright and small and still
1235,the drivers carried the freight themselves over such treacherous footing and then reloaded the camels
1236,the two were taken to a nearby military camp
1237,he left without saying goodbye to the crystal merchant
1238,but can we trust him
1239,they began to ride out over the sands with the moon lighting their way
1240,our new ai can dynamically adapt the balance of the gameplay
1241,that's never happened to me the boy said
1242,why should i be in any danger
1243,we don't know what's in the confounded thing do you
1244,four hundred and fifty dollars
1245,the loafers and golf caddies were used to hanging out near the railway station
1246,plastic surgery has become more popular
1247,the crowd on the far left seemed to get bigger and i heard now a faint murmur from it
1248,he was immensely excited at the news
1249,chickens are adorable
1250,christmas is a lot like easter
1251,there was a small building there with a window at which people bought tickets to africa
1252,i'm already used to the way things are
1253,are you a hypnotist
1254,that's what i'd like to know
1255,yours sincerely satan
1256,he had suddenly remembered that in tarifa there was an old woman who interpreted dreams
1257,of course i believe you
1258,the boy was shocked
1259,that tina thought it was funny
1260,and he looked out over the desert that had brought him to the woman he loved
1261,the animals were exhausted and the men talked among themselves less and less
1262,the wind began to blow again
1263,he had seen the shooting star and was persuaded that a meteorite lay somewhere nearby
1264,when you are in love things make even more sense he thought
1265,absolutely despicable that gingerbread men are forced to live in houses made of their own flesh
1266,you have helped me the man continued to prepare his tea saying nothing
1267,i've got a weakness
1268,they both spoke the same language
1269,a large portion of the cylinder had been uncovered
1270,ogilvy told him everything that he had seen
1271,he didn't want any conversation at this point
1272,everyone seemed very excited
1273,one can imagine these two covered with sand running up the little street in the bright sunlight
1274,they called that discovery the master work  it was part liquid and part solid
1275,the arab accepted them without a word
1276,it was only when i got this close to it that the strangeness of it was at all evident to me
1277,as he was leaving he saw in the corner of the room his old shepherd's pouch
1278,that's what alchemists do
1279,the quicker the better
1280,he called to the boy and they took a walk along the dunes surrounding the encampment
1281,he restarted his efforts for the twentieth time
1282,she gave them each a half to make them work together
1283,who gets your vote
1284,the only shadow was that of the few scattered pine trees
1285,it was sprayed in red with yellow edges
1286,all they think about is food and water
1287,we'll find you a hotel
1288,it left a greenish streak that glowed for some seconds
1289,the treasure is at the pyramids that you already knew
1290,there was very little talking
1291,it must be some kind of a gag
1292,something inside the cylinder was unscrewing the top
1293,i know she writes them
1294,i think they perceived that nothing was to be done at the moment
1295,it would kill you
1296,the sun thought about that and decided to shine more brightly
1297,you're in luck you two the fat arab said
1298,it was a bundle of money
1299,and he wasn't faring much better
1300,maybe because that wasn't really his dream
1301,he had never even wept in front of his own sheep
1302,no doubt the impact had caused a flash of fire
1303,by the light of their own destruction i saw them staggering and falling and their supporters turning to run
1304,but don't worry the alchemist continued
1305,then taking his sheep he walked away
1306,before the boy could reply a butterfly appeared and fluttered between him and the old man
1307,i shall make us some ice cubes
1308,it was early morning when she woke up
1309,it seemed to him that it fell to earth about one hundred miles east of here
1310,you'll get your money in sixty days
1311,he was planning as he left the bar
1312,it was a pleasant change from talking to his sheep
1313,no he heard a voice on the wind say
1314,patrick has terminal cancer
1315,the shop is exactly the size i always wanted it to be
1316,it looked like a rusty gas float
1317,what is the benefit of the method in terms of identification accuracy
1318,there's no danger the boy said when they had moved on past the encampment
1319,i had never heard of alchemists before the boy said
1320,i myself heard nothing of that
1321,a boy came running towards me
1322,he drew on the back of his jacket with a blue fountain pen
1323,there were thirty girls on the soccer field
1324,that's got nothing to do with it
1325,everything you need to know you have learned through your journey
1326,it was better than the scent of the hookahs
1327,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him
1328,i could eat a horse
1329,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
1330,we need to run
1331,i told you to practice
1332,on the first day he returned with a rabbit and on the second with two birds
1333,the only shadow was that of the few scattered pine trees
1334,few people realise the immensity of vacancy
1335,it was the pure language of the world
1336,another trick the boy thought
1337,so he could not be hasty nor impatient
1338,you will never be able to escape from your heart
1339,it had a diameter of about thirty yards
1340,he took back his books and packed them away again in their bags
1341,you've got just ten minutes
1342,that song reminds me of my childhood
1343,the little group of people from the city dispersed
1344,two years ago right here on this spot i had a recurrent dream too
1345,he called to the boy and they took a walk along the dunes surrounding the encampment
1346,when she saw the unknown object bobbing up and down the edge she was absolutely horrified
1347,it's the master work of the alchemists
1348,two days later the merchant spoke to the boy about the display
1349,but he kept quiet because he had heard what the alchemist said to the monk
1350,the boy brought his horse closer
1351,fatima appeared at the entrance to the tent
1352,then suddenly he noticed it with a start
1353,but they were not there
1354,have you notified the police
1355,i know what you're feeling
1356,ten minutes for what
1357,whom are you calling now
1358,but the merchant understood what the boy had said
1359,his soul must be too primitive to understand those things he thought
1360,who is this stranger who speaks of omens asked one of the chieftains eyeing the boy
1361,then you'll die in the midst of trying to realize your destiny
1362,the level ground was blackened as far as one could see and it was still giving off smoke
1363,they rode for the entire day
1364,then he took from his knapsack a bottle of wine and drank some
1365,i was sent down here to clean house
1366,he wanted your money he said
1367,it was dropping off in flakes and raining down on the sand
1368,i think we were wrong about sally having the money
1369,he was twenty minutes from his tent and began to make his way there
1370,it was starlight and i explained the signs of the zodiac to her
1371,i want my husband to wander as free as the wind that shapes the dunes
1372,a boy came running towards me
1373,you lived your life in a loving way and died with dignity
1374,how much is it worth
1375,i'll just watch him he said to himself
1376,i'm going to hate those who have found their treasure because i never found mine
1377,the boy noticed that the owner of the bar stood nearby listening attentively to their conversation
1378,and one or two persons were returning
1379,i thought that was peter parker
1380,but everything had changed
1381,an alchemist said the alchemist
1382,yeah its definitely worth checking out especially if the pay is reasonable and the work is good for your career there was absolutely no reason for her to announce it to the entire company
1383,i could see something in their faces
1384,no one said a word as the old man continued
1385,have you got that money
1386,a breeze began to blow
1387,the clock was slightly askew
1388,here's two thousand dollars
1389,i got drunk yesterday and thought i built a super computer
1390,then the thing came upon him in a flash
1391,i have the diet of a kid who found twenty dollars
1392,she's written to me every day since
1393,it's called the principle of favorability
1394,at his side was the young arab the boy had spoken with earlier
1395,let's go and have some lunch said the crystal merchant
1396,i've had this shop for thirty years
1397,there was a murmur from the crowd
1398,well then why do we need all these books the boy asked
1399,the boy's heart began to speak of fear
1400,i had seen all that it would presently bring me
1401,besides that there was a heap of bicycles
1402,maybe that's why they always stay close to me
1403,who you holding out on
1404,don't worry i took a cab to get home safely
1405,my dog is an alsatian we call her 'poppy'
1406,from atop its walls one can catch a glimpse of africa
1407,you'll use your knowledge for the welfare of the oasis and its inhabitants
1408,that sobered him a little
1409,i think its too overwhelming to introduce two complex tools that basically do the same things
1410,you've got the mayor and pullman backed against a wall
1411,the night was warm and i was thirsty
1412,and he gave the boy his blessing
1413,what's in that desk
1414,so he asked if the old man's blessing was still with him
1415,the invaders carried the name everywhere the beautiful girl spoke of the invaders with pride
1416,but the boy couldn't even speak
1417,it seemed he had made the long journey for nothing
1418,will you get out and let me handle this
1419,our deadline is coming up rapidly and we will need help
1420,but the tradition also says that we should believe the messages of the desert
1421,it would have been visible to me had i only looked up as it passed
1422,at the highest point in tarifa there is an old fort built by the moors
1423,there was no need to imprison them the arabs simply confiscated their horses
1424,on the  o'clock train
1425,they also began to feel that they knew a better way than others had
1426,men dream more about coming home than about leaving the boy said
1427,he got up early with the idea of finding it
1428,but he granted the travelers three days
1429,no doubt the impact had caused a flash of fire
1430,whose turn is it
1431,hires two personal trainers and make one of them train the other one
1432,during the third year the omens will continue to speak of your treasure and your destiny
1433,and he wasn't faring much better
1434,it left a greenish streak that glowed for some seconds
1435,you'll find us everywhere
1436,it was the pure language of the world
1437,the battles may last for a long time perhaps even years
1438,it seemed to him that it fell to earth about one hundred miles east of here
1439,don't ask me why i don't know why
1440,most meteorites are more or less rounded
1441,learn to recognize omens and follow them the old king had said
1442,everyone seemed very excited
1443,perhaps she met somebody
1444,looking through the telescope i saw a circle of deep blue and the little round planet
1445,the shepherd swore that he would
1446,that life may always have flavor
1447,not even the tribal chieftains are able to see him when they want to
1448,the only shadow was that of the few scattered pine trees
1449,at that time it was quite clear in my own mind that the thing had come from the planet mars
1450,we need to hurry
1451,it spoke of journeys discoveries books and change
1452,he wanted to forget about the vision and return to his meditation
1453,a thin circle of bright metal showed between the top and the body of the cylinder
1454,it's going to take a while the boy said
1455,then the thing came upon him in a flash
1456,it sounded like a gypsy prayer
1457,i'm going to find that damned alchemist the englishman thought
1458,in spite of this i still believed that there were men in mars
1459,first they tried to find him on their own
1460,he saw the boy appear from the other side of the dunes
1461,the boy waited and then interrupted the old man just as he himself had been interrupted
1462,we don't know what's in the confounded thing do you
1463,of course the two were unable to do anything
1464,we should segregate the participants by age
1465,then we can climb mt helen
1466,and maybe it wasn't that they were teaching me but that i was learning from them
1467,he wandered for a while keeping the date palms of the oasis within sight
1468,it was better than the scent of the hookahs
1469,scattered groups of people were hurrying from the direction of woking
1470,and the alchemist understood that the boy's heart had returned to the soul of the world
1471,the war continued and at times the wind carried the sweet sickly smell of blood
1472,i told him we could teach her to ignore people who waste her time
1473,to realize one's destiny is a person's only real obligation
1474,who are you he heard a voice ask him in spanish
1475,we've got to produce a show now
1476,yes or even search for treasure
1477,in those days very few of the people had any idea about astronomy
1478,and he hadn't perceived them because he had become accustomed to them
1479,then i don't get paid
1480,she accused an exconvict of stalking and sexual assault
1481,then i've only got an hour to dress
1482,the streamer of gas came out towards us
1483,if you have to wait until the war is over then wait
1484,he thought of the woman who had trusted in the desert
1485,the pilots braced themselves for impact
1486,most of them were staring quietly at the big table
1487,the men of the desert were already familiar with that wind
1488,i heard a faint movement under my feet
1489,down below in the darkness were hundreds of people sleeping in peace
1490,how do you like her
1491,a sight for sore eyes
1492,the merchant was silent for a few moments
1493,i'll give it a drink
1494,how long is what
1495,the alchemist was a bit daunting but as the boy drank the wine he relaxed
1496,the boy went to his room and packed his belongings
1497,there were lights in the upper windows of the houses when the people went to bed
1498,remember the interview i wrote with alice wellman
1499,how do you mean
1500,it seemed so safe and tranquil
1501,i'll be right back
1502,for your first installation i highly recommend using their prepackaged version of python to avoid trouble
1503,he approached the mass and was surprised at the size and the shape
1504,take that fire extinguisher and put out the fire
1505,others stumbled upon the stone by accident
1506,at that time it was quite clear in my own mind that the thing had come from the planet mars
1507,and he gave the boy his blessing
1508,stick to your clubs
1509,my friend bought all the other sheep immediately
1510,last time i made the mistake of replicating a drawing by rodin
1511,taking the jacket out he began to clean the glasses
1512,he hoped that it would be someone as capable as his previous apprentice
1513,the turf and gravel around it seemed charred as if by a sudden explosion
1514,the shirt off my back
1515,the desert with its endless monotony put him to dreaming
1516,it's a beautiful miracle
1517,she looks kind of bored
1518,she's a feisty little ferret
1519,it's the name of the prophet's daughter fatima said
1520,the terrorist group made their demand
1521,but they were not there
1522,and so do i
1523,i was impatient to see it opened
1524,he expertly gutted the rabbit
1525,as they began to decorate the hallway a silhouette appeared in the doorway
1526,when did you arrive in town
1527,an important difference is the amount of experiences that is to say inputs
1528,because you are trying to realize your destiny
1529,a line of flame high can be seen in the atmosphere
1530,the turf and gravel around it seemed charred as if by a sudden explosion
1531,this was the strangest of all things that ever came to earth from outer space
1532,so when i look out over your sands i am also looking at her
1533,would you like a cappuccino
1534,do you think steven would have let you keep it
1535,but a lovely chap
1536,then the thing came upon him in a flash
1537,he had suddenly remembered that in tarifa there was an old woman who interpreted dreams
1538,the boy noticed that the man's clothing was strange
1539,tomorrow at this same time bring me a tenth of your flock
1540,i can see that
1541,the alchemist was a bit daunting but as the boy drank the wine he relaxed
1542,there were raised voicesand some sort of struggle appeared to be going on 
1543,class was dismissed due to a freak incident caused by a chemical spill
1544,it was difficult not to think about what he had left behind
1545,my review of the sun one star
1546,it didn't even occur to the boy to flee
1547,but she is gone
1548,i don't believe it
1549,he spent the entire morning observing the infrequent comings and goings in the street
1550,you can't believe it's not butter
1551,suddenly the elder at the center smiled almost imperceptibly and the boy felt better
1552,he did find it soon after dawn and not far from the sand pits
1553,its lower end was still embedded
1554,then suddenly he noticed it with a start
1555,if you start your emails with greetings let me be the first to welcome you to earth
1556,i guess i used all the shells
1557,they can't do that to me
1558,as i watched the planet seemed to grow larger and smaller
1559,and yet none of these people has ever met the old king
1560,he disappeared into the tent
1561,how would you like to work for me
1562,this was my destiny not yours the alchemist answered
1563,later we simply let life proceed in its own direction toward its own fate
1564,a pile of soft ashes coated her body and filled her nostrils
1565,then came the night of the first falling star
1566,of course the two were unable to do anything
1567,you must always know what it is that you want the old king had said
1568,people said that gypsies spent their lives tricking others
1569,he wanted to tell him about fatima
1570,at most they thought that another meteorite had descended
1571,as they sat down at the only table in the place the crystal merchant laughed
1572,the gods should not have desires because they don't have destinies
1573,if you start your emails with greetings let me be the first to welcome you to earth
1574,maktub thought the boy
1575,i'm terribly sorry she isn't here
1576,sadly my dream of becoming a squirrel whisperer may never happen
1577,i'm observing passiveaggressive behavior the psychologist said in a professional tone
1578,the camel driver understood what the boy was saying
1579,that first day everyone slept from exhaustion including the englishman
1580,that's the man who knows all the secrets of the world she said
1581,how do people celebrate good weather over there
1582,i just got rid of one crowd
1583,and i will tell you how to find the hidden treasure
1584,they also began to feel that they knew a better way than others had
1585,thanks for the clarification
1586,fatima was more important than his treasure
1587,and because the tribes declared war i went to the well seeking the alchemist
1588,when the simum ceased to blow everyone looked to the place where the boy had been
1589,the boy looked out at the horizon
1590,no doubt the impact had caused a flash of fire
1591,even me  i haven't thought of other women since i met the merchant's daughter
1592,they raised their glasses in the old bar
1593,his life and his path had always provided him with enough omens
1594,he called to the boy and they took a walk along the dunes surrounding the encampment
1595,the report was largely scathing
1596,and then he perceived it very slowly
1597,that's the best part of it
1598,i tore him apart
1599,some of our biggest clients are affected
1600,i'm going to them
1601,the englishman was disappointed
1602,we got orders to hold you safely in the branches of this pine tree
1603,we miss you and miss having a friend like you and i am so happy that you two got to catch up
1604,so the wind blew with all its strength and the sky was filled with sand
1605,listen to that mob
1606,can i help you
1607,i came to tell you just one thing the boy said
1608,it would have been visible to me had i only looked up as it passed
1609,well he thought about that the old man said
1610,but the crystal merchant had no choice
1611,they ate in silence
1612,the caravans had been stopped at giza for some time waiting for the wars to end
1613,he asked it please never to stop speaking to him
1614,the wind began to pick up
1615,they went to the kitchen at the back of the monastery
1616,i have to separate out the sulfur
1617,and he wasn't faring much better
1618,did you learn anything the englishman asked eager to hear what it might be
1619,the sweet corn tasted better grilled
1620,it would have been visible to me had i only looked up as it passed
1621,instead the stranger lowered it slowly until the point touched the boy's forehead
1622,as soon as he saw me among the crowd he called to me to come down
1623,and he gave the boy his blessing
1624,before he gets through tonight he'll ruin us all
1625,should i understand the emerald tablet the boy asked
1626,wait till those two future jailbirds read the morning post tomorrow
1627,then the two went off to have some more tea
1628,she needs to get her transcripts and passport first
1629,the boy noticed that the owner of the bar stood nearby listening attentively to their conversation
1630,the serpent relaxed immediately
1631,i can clean up those glasses in the window if you want said the boy
1632,he thought of the woman who had trusted in the desert
1633,the top had certainly ceased to rotate
1634,and i'm certain you'll find it the alchemist said
1635,a while ago i rode through the desert with a man who had books on alchemy
1636,he slipped on the stairs
1637,it must have fallen while i was sitting over there
1638,the first rule of don't fight club is let's talk about it
1639,it was the most delicious wine he had ever tasted
1640,no doubt the impact had caused a flash of fire
1641,the alchemist dismounted slowly and the boy did the same
1642,i was torn between fear and curiosity
1643,his soul must be too primitive to understand those things he thought
1644,what do you know about miranda
1645,the boy went to the well every day to meet with fatima
1646,it spread through the planet's atmosphere and obscured its more familiar features
1647,keep your shirt on
1648,where your treasure is there also will be your heart the alchemist had told him
1649,when i returned to the common the sun was setting
1650,then who are you
1651,he appeared with the first stars of evening
1652,i haven't any hard feelings
1653,they seemed to laugh at him and he laughed back his heart bursting with joy
1654,have trusted more in your love for fatima
1655,when were these books written the boy asked
1656,they're always after me for interviews
1657,not that i was listening but i noticed that you sounded really stressed when you were explaining the situation to him
1658,what is a foreigner doing here asked another of the men
1659,but when the reign of tiberius ended his poems were forgotten
1660,because life wants you to achieve your destiny
1661,want to walk to new york
1662,at most they thought that another meteorite had descended
1663,i left my father my mother and the town castle behind
1664,what do you know about that
1665,did you bring the christmas wreath
1666,hires two personal trainers and make one of them train the other one
1667,the soul of the world is nourished by people's happiness
1668,i myself heard nothing of that
1669,give me precise instructions how to decontaminate the trooper
1670,the alien gurgled and thrashed its tentacles
1671,who engineered this getaway
1672,when he saw henderson in his garden he called over the fence and made himself understood
1673,it left a greenish streak that glowed for some seconds
1674,we've got to do something
1675,then he dropped his spade picked up his jacket and came out into the road
1676,they filled three sacks
1677,the desert didn't answer him for a few moments
1678,next morning there were two thousand armed men scattered throughout the palm trees at al fayoum
1679,and he asked the boy if he too were in search of the alchemist
1680,only in that way would he be able to read the omens
1681,one that will write
1682,from here on you will be alone the alchemist said
1683,i understand sheep they're no longer a problem and they can be good friends
1684,it was as if it quivered but really this was the telescope vibrating
1685,every day was there to be lived or to mark one's departure from this world
1686,he tried again to concentrate on the pink shades of the desert and its stones
1687,he really was a king
1688,our generator has been disrupted by ultra high frequency waves
1689,something inside the cylinder was unscrewing the top
1690,the hookahs were extinguished and the guards stood at attention
1691,all that time the martians must have been getting ready
1692,from the railway station in the distance came the sound of trains ringing and rumbling
1693,that was the law of hospitality
1694,that first day everyone slept from exhaustion including the englishman
1695,but she said nothing
1696,the loafers and golf caddies were used to hanging out near the railway station
1697,the strange horseman drew an enormous curved sword from a scabbard mounted on his saddle
1698,i don't want to change anything because i don't know how to deal with change
1699,they'll take care of it
1700,i got drunk yesterday and thought i built a super computer
1701,and he told what he had seen
1702,he had been so far away that his face wasn't even visible
1703,the only shadow was that of the few scattered pine trees
1704,i finally have enough money and all the time i need
1705,the ceiling collapsed inwards
1706,who told you about omens the boy's interest was increasing by the moment
1707,the time must have been somewhere around six o'clock
1708,there is a whole lot of joy in playing piano
1709,i'll return just as your father came back to your mother he said
1710,better to get half than nothing
1711,alfayoum is in egypt said the arab
1712,wearing his new sandals he descended the stairs silently
1713,there was a general movement backwards
1714,maybe we'd better call herman
1715,it was however still so hot from its flight through the air
1716,the old man said nothing
1717,it's even higher than this
1718,the stranger seemed satisfied with the answer
1719,i'm afraid it is important
1720,nobody's trying to steal from you
1721,i want to tell you a story about dreams said the alchemist
1722,the old man looked disappointed
1723,but i found it difficult to get to work because of the investigations
1724,i myself heard nothing of that
1725,the boy began to dig into the dune
1726,neighbors moved away and there remained only a few small shops on the hill
1727,the same book that taught me about urim and thummim
1728,eventually the merchant had to hire two more employees
1729,to do that successfully i must have no fear of failure
1730,i thought about whether we should find coins and models in it and so on
1731,but he kept quiet because he had heard what the alchemist said to the monk
1732,dont share your opinions so readily because you never know who is listening
1733,so you got married
1734,there were lights in the upper windows of the houses when the people went to bed
1735,you have no idea what's happened to me
1736,in those days very few of the people had any idea about astronomy
1737,to show you one of life's simple lessons the alchemist answered
1738,i'm going with you the boy said
1739,its too early to tell whether the strategy will pay off
1740,just by looking at them
1741,ogilvy told him everything that he had seen
1742,he saw the boy appear from the other side of the dunes
1743,the turf and gravel around it seemed charred as if by a sudden explosion
1744,and one or two persons were returning
1745,he could always become a crystal salesman again
1746,it was as if it quivered but really this was the telescope vibrating
1747,the boy offered his bottle hoping that the old man would leave him alone
1748,the boy offered his bottle hoping that the old man would leave him alone
1749,there was hardly any movement from the pit
1750,it's the only name i've got
1751,the only things that concerned the sheep were food and water
1752,and at that i told him and he took my place
1753,his father said no more
1754,the end of the cylinder was still as ogilvy and henderson had left it
1755,the other son was a poet and delighted all of rome with his beautiful verses
1756,then he realized that he had been distracted for a few moments looking at the sword
1757,the police finally manage to get him out of the park
1758,hires two personal trainers and make one of them train the other one
1759,what do you know about it
1760,he transformed himself into a stone that rolled up to the miner's foot
1761,from then on he would make his own decisions
1762,i'm going to put her through college
1763,but in his heart he knew that it did matter
1764,hundreds must have seen it and taken it for a falling star
1765,the men were terrified at his sorcery
1766,life attracts life the alchemist answered
1767,but this payment goes well beyond my generosity the monk responded
1768,then came the night of the first falling star
1769,there was an accident at work a camel stampede nearly killed the janitor
1770,he stood irresolute for a moment and then scrambled out of the pit
1771,not even a stick of gum
1772,i know good crystal from bad and everything else there is to know about crystal
1773,if you want something you gotta go get it
1774,if good things are coming they will be a pleasant surprise said the seer
1775,most meteorites are more or less rounded
1776,my seven year resume gap is marked not drugs
1777,i learned how to care for sheep and i haven't forgotten how that's done
1778,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him
1779,the desert was all sand in some stretches and rocky in others
1780,but a lovely chap
1781,he approached the mass and was surprised at the size and the shape
1782,at once he connected the two incidents
1783,sometimes i appear in the form of a solution or a good idea
1784,so you got married
1785,i want my baby to look like you
1786,they become a part of everything
1787,alchemy is a serious discipline
1788,he doesn't have anything else
1789,they were strange books
1790,what do you think
1791,and i will tell you how to find the hidden treasure
1792,she would never know the difference because she didn't know how to read
1793,i told you that your dream was a difficult one
1794,the thing itself was almost entirely buried in sand
1795,have a good look
1796,you got your sea legs yet
1797,but they could never have taught him arabic
1798,i want to stay at the oasis the boy answered
1799,but she hadn't charged him anything
1800,please never throw salami pizza away
1801,one of the worst crooks in town
1802,the hunter was alerted by the sound of rustling vegetation behind her
1803,he left without saying goodbye to the crystal merchant
1804,i asked him to let me use the kitchen for a while the alchemist smiled
1805,the music was captivating
1806,they never found the secret
1807,i don't want anything else in life
1808,i have the diet of a kid who found twenty dollars
1809,except for the dream
1810,many people in berkshire surrey and middlesex must have seen it
1811,it was a bundle of money
1812,i wouldn't take that too seriously
1813,as they watched the waves crashing into each other alice thought of home
1814,with the girl with the raven hair his days would never be the same again
1815,what happened to your wings
1816,it was seen early in the morning rushing over eastward
1817,he had never even wept in front of his own sheep
1818,did you get him
1819,i want my husband to wander as free as the wind that shapes the dunes
1820,i think we were wrong about sally having the money
1821,don't be an idiot
1822,he quickly pulled his hands away
1823,then you taught me something of the universal language and the soul of the world
1824,the battles may last for a long time perhaps even years
1825,she never trusted me
1826,his father said no more
1827,i can learn something from the desert too
1828,i'm going to find that damned alchemist the englishman thought
1829,i'm getting out of here and you can't stop me
1830,give me my book the boy said
